emg,ax,ay,az
0.754875,9.744400756835937,-0.4477157104492187,1.8459294799804686
0.754625,9.777919580078125,-0.4333505004882812,1.7262193969726563
0.754625,9.828197814941406,-0.430956298828125,1.8363526733398436
0.754625,9.782707983398437,-0.45010991210937495,1.8411410766601561
0.754625,9.792284790039062,-0.4381389038085937,1.8363526733398436
0.75475,9.809044201660155,-0.46686932373046874,1.905784521484375
0.754625,9.797073193359374,-0.43574470214843747,1.70467158203125
0.754625,9.775525378417969,-0.5817910034179687,1.9895815795898437
0.754625,9.744400756835937,-0.4333505004882812,1.8363526733398436
0.754625,9.78031378173828,-0.46208092041015625,1.8291700683593748
0.754625,9.801861596679688,-0.4261678955078125,1.8028338500976562
0.754625,9.758765966796874,-0.46686932373046874,1.85790048828125
0.754625,9.80665,-0.4477157104492187,1.8531120849609375
0.754625,9.765948571777344,-0.45968671875,1.8219874633789062
0.754625,9.811438403320311,-0.49320554199218747,1.848323681640625
0.754625,9.828197814941406,-0.42377369384765623,1.8435352783203125
0.754625,9.739612353515625,-0.4525041137695312,1.898601916503906
0.754625,9.813832604980469,-0.46208092041015625,1.8411410766601561
0.754625,9.765948571777344,-0.4429273071289062,1.9800047729492187
0.754625,9.794678991699218,-0.41898529052734373,1.85790048828125
0.754625,9.765948571777344,-0.42377369384765623,1.9847931762695312
0.754625,9.909600671386718,-0.4477157104492187,1.9728221679687499
0.754625,9.686939916992188,-0.4740519287109375,1.8914193115234375
0.754625,9.868899243164062,-0.430956298828125,1.8435352783203125
0.7545000000000001,9.842563024902343,-0.30885201416015623,1.7980454467773437
0.7545000000000001,9.79946739501953,-0.469263525390625,1.8770541015625
0.754625,9.797073193359374,-0.4381389038085937,1.70467158203125
0.754625,9.80665,-0.430956298828125,1.68551796875
0.7545000000000001,9.765948571777344,-0.6057330200195312,1.8004396484374998
0.754625,9.7683427734375,-0.5889736083984375,1.915361328125
0.754625,9.809044201660155,-0.430956298828125,1.848323681640625
0.75475,9.777919580078125,-0.488417138671875,1.7908628417968748
0.754625,9.777919580078125,-0.39743747558593745,1.8698714965820311
0.754625,9.797073193359374,-0.3136404174804687,1.8626888916015625
0.754625,9.79946739501953,-0.4261678955078125,1.8363526733398436
0.754625,9.785102185058593,-0.30885201416015623,1.8315642700195311
0.754625,9.809044201660155,-0.430956298828125,1.8100164550781248
0.7545000000000001,9.797073193359374,-0.4525041137695312,1.8555062866210936
0.754625,9.763554370117188,-0.469263525390625,1.8746598999023436
0.754625,9.74200655517578,-0.3112462158203125,1.7980454467773437
0.754625,9.775525378417969,-0.43574470214843747,1.6998831787109374
0.754625,9.794678991699218,-0.4525041137695312,1.8626888916015625
0.754625,9.730035546875,-0.430956298828125,1.9608511596679685
0.754625,9.797073193359374,-0.45968671875,1.8602946899414061
0.754625,9.775525378417969,-0.5961562133789062,1.8650830932617186
0.754625,9.943119494628906,-0.4429273071289062,1.8243816650390623
0.754625,9.947907897949218,-0.4525041137695312,1.8076222534179687
0.754625,9.763554370117188,-0.45010991210937495,1.879448303222656
0.754625,9.830592016601562,-0.39983167724609375,1.848323681640625
0.754625,9.775525378417969,-0.46686932373046874,1.8411410766601561
0.754625,9.777919580078125,-0.45489831542968745,1.8243816650390623
0.754625,9.787496386718749,-0.4261678955078125,1.8531120849609375
0.754625,9.7683427734375,-0.47644613037109373,1.8315642700195311
